,id,type
1017,FUN_036214,gene
1018,FUN_036478,gene
1019,FUN_035103,gene
1020,FUN_035215,gene
1021,FUN_035243,gene
1022,FUN_035253,gene
1023,FUN_035259,gene
1024,FUN_035350,gene
1025,FUN_035406,gene
1026,FUN_035465,gene
1027,FUN_035478,gene
1028,FUN_035514,gene
1029,FUN_037489,gene
1030,FUN_037553,gene
1031,FUN_037678,gene
1032,FUN_037680,gene
1033,FUN_037709,gene
1034,FUN_037743,gene
1035,FUN_037809,gene
1036,FUN_037843,gene
1037,FUN_037867,gene
1038,FUN_036755,gene
1039,FUN_036826,gene
1040,FUN_036882,gene
1041,FUN_036893,gene
1042,FUN_036922,gene
1043,FUN_036924,gene
1044,FUN_036927,gene
1045,FUN_036939,gene
1046,FUN_037040,gene
1047,FUN_037062,gene
1048,FUN_037083,gene
1049,FUN_037213,gene
1050,FUN_037973,gene
1051,FUN_038685,gene
1052,FUN_037979,gene
1053,FUN_038783,gene
1054,FUN_038791,gene
1055,FUN_038831,gene
1056,FUN_038886,gene
1057,FUN_038915,gene
1058,FUN_038916,gene
1059,FUN_039026,gene
1060,FUN_039086,gene
1061,FUN_038040,gene
1062,FUN_038072,gene
1063,FUN_038260,gene
1064,FUN_038275,gene
1065,FUN_038276,gene
1066,FUN_038284,gene
1067,FUN_038310,gene
1068,FUN_038380,gene
1069,FUN_038504,gene
1070,FUN_038569,gene
1071,FUN_038626,gene
1072,FUN_039689,gene
1073,FUN_039695,gene
1074,FUN_039753,gene
1075,FUN_040548,gene
1076,FUN_039893,gene
1077,FUN_040091,gene
1078,FUN_040230,gene
1079,FUN_040270,gene
1080,FUN_041310,gene
1081,FUN_041446,gene
1082,FUN_041451,gene
1083,FUN_041459,gene
1084,FUN_041486,gene
1085,FUN_041555,gene
1086,FUN_041562,gene
1087,FUN_041619,gene
1088,FUN_041668,gene
1089,FUN_041732,gene
1090,FUN_041818,gene
1091,FUN_041889,gene
1092,FUN_041898,gene
1093,FUN_041905,gene
1094,FUN_041932,gene
1095,FUN_041942,gene
1096,FUN_041967,gene
1097,FUN_042136,gene
1098,FUN_042426,gene
1099,FUN_042110,gene
1100,FUN_043642,gene
1101,FUN_042914,gene
1102,FUN_042971,gene
1103,FUN_043084,gene
1104,FUN_043098,gene
1105,FUN_043107,gene
1106,FUN_043145,gene
1107,FUN_043156,gene
1108,FUN_043182,gene
1109,FUN_043192,gene
1110,FUN_043212,gene
1111,FUN_043222,gene
1112,FUN_043303,gene
1113,FUN_043318,gene
1114,FUN_043363,gene
1115,FUN_043459,gene
1116,FUN_043531,gene
1117,FUN_001239,gene
1118,FUN_001378,gene
1119,FUN_001548,gene
1120,FUN_001865,gene
1121,FUN_001966,gene
1122,FUN_000199,gene
1123,FUN_002194,gene
1124,FUN_000572,gene
1125,FUN_000610,gene
1126,FUN_000913,gene
1127,FUN_001019,gene
1128,FUN_003434,gene
1129,FUN_003524,gene
1130,FUN_003568,gene
1131,FUN_003621,gene
1132,FUN_003764,gene
1133,FUN_003882,gene
1134,FUN_003928,gene
1135,FUN_003969,gene
1136,FUN_003983,gene
1137,FUN_002464,gene
1138,FUN_004105,gene
1139,FUN_004184,gene
